Organization Name,Type,Full-Time Employees,Part-Time Employees,Volunteers,City,Region,Planned Projects,Executed Projects,Rating (out of 100),Supervising Ministry,Target Group,Main Activity Area,Founded Year,Accreditation Status,Number of Beneficiaries,Workshops Conducted,Training Sessions Conducted,Volunteer Hours Contributed,Staff Retention Rate (%),Digital Presence
Foundation Harmony Network,Technology,19,27,248,Abha,Eastern,9,18,63,Ministry of Culture,Disabled,Community Engagement,2020,Accredited,,54,79,7236,96,Yes
Foundation Progress Mission,Youth,36,3,116,Hail,Western,9,0,100,Ministry of Economy and Planning,Disabled,Awareness,2001,Pending,    ,20,1,1737,96,No
Association Innovation Mission,Youth,36,4,34,Jeddah,Central,19,11,89,Ministry of Health,Students,Training,2003,Accredited,560000,75,91,9769,77,Yes
Center Development Group,Charitable,33,14,146,Abha,Central,15,2,70,Ministry of Health,Elderly,Research,2010,Pending,8775,69,55,9340,92,No
Foundation Unity Network,Cultural,9,28,104,Makkah,Eastern,5,3,66,Ministry of Municipal and Rural Affairs,Students,Research,2002,Unaccredited,7466,87,57,2239,84,No
Initiative Empowerment for Youth,Health,6,15,162,Dammam,Western,9,0,79,Ministry of Health,Refugees,Training,1993,Unaccredited,2806,22,1,2344,72,No
Center Development Group,Health,45,15,300,Makkah,Western,20,3,94,Ministry of Education,Students,Community Engagement,2018,Unaccredited,4355,33,63,5447,79,No
Association Compassion for Communities,Development,13,3,158,Medina,Central,2,4,100,Ministry of Economy and Planning,Job Seekers,Capacity Building,2003,Unaccredited,4650,71,54,1379,97,No
Association Innovation for Development,Cultural,18,24,89,Tabuk,Eastern,13,13,74,Ministry of Culture,Families,Research,2022,Accredited,2356,4,34,6931,62,No
Initiative Care for Communities,Educational,33,2,192,Tabuk,Southern,1,19,95,Ministry of Human Resources and Social Development,Refugees,Relief,1992,Pending,6645,53,26,3579,81,Yes
Society Hope for Communities,Cultural,30,26,127,Medina,Central,7,5,64,Ministry of Culture,Students,Capacity Building,2008,Pending,2679,34,100,6323,65,Yes
Initiative Empowerment for Change,Cultural,45,18,93,Jeddah,Northern,14,20,67,Ministry of Communications and Information Technology,Patients,Community Engagement,2017,Accredited,2739,61,9,8567,65,Yes
Center Hope Initiative,Development,8,18,54,Makkah,Western,19,0,87,Ministry of Education,Families,Training,2017,Pending,903,35,28,2414,71,No
Center Light Mission,Charitable,33,13,180,Medina,Northern,7,13,78,Ministry of Education,Refugees,Relief,2011,Accredited,7133,49,37,2411,99,No
Society Prosperity for Development,Social Services,50,24,36,Hail,Western,12,1,65,Ministry of Communications and Information Technology,Orphans,Research,2015,Accredited,1795,76,58,2309,66,No
Society Unity for Youth,Development,22,20,66,Riyadh,Western,16,14,77,Ministry of Human Resources and Social Development,Families,Research,1990,Unaccredited,2788,1,62,3046,80,Yes
Association Care Network,Health,25,1,149,Riyadh,Western,4,0,82,Ministry of Municipal and Rural Affairs,Families,Community Engagement,1993,Accredited,4546,91,56,9956,66,Yes
Society Light Group,Cultural,50,8,231,Najran,Western,20,1,76,Ministry of Education,Orphans,Community Engagement,2000,Accredited,5727,9,7,8261,90,Yes
Center Innovation Network,Technology,7,17,250,Riyadh,Northern,1,13,62,Ministry of Culture,Elderly,Relief,2008,Accredited,9134,66,80,6726,75,No
Foundation Care Initiative,Technology,26,19,129,Dammam,Eastern,13,13,76,Ministry of Human Resources and Social Development,Families,Awareness,1999,Accredited,4654,24,4,416,62,Yes
Center Progress for Youth,Youth,11,4,27,Tabuk,Northern,7,4,65,Ministry of Economy and Planning,Youth,Relief,2018,Unaccredited,2265,68,65,8410,72,Yes
Initiative Innovation for Youth,Technology,27,20,230,Jeddah,Central,17,10,71,Ministry of Economy and Planning,Families,Research,2009,Unaccredited,6058,52,66,3962,61,Yes
Foundation Hope for Youth,Social Services,50,19,237,Tabuk,Western,13,5,66,Ministry of Culture,Students,Advocacy,2004,Unaccredited,9720,63,97,9929,75,Yes
Society Compassion for Communities,Health,16,18,156,Najran,Southern,9,17,64,"Ministry of Environment, Water and Agriculture",Students,Advocacy,2021,Unaccredited,3800,3,6,6879,92,Yes
Foundation Prosperity Network,Social Services,47,30,220,Hail,Central,6,8,83,Ministry of Human Resources and Social Development,Families,Awareness,2001,Unaccredited,6553,6,51,4738,73,No
Foundation Hope Network,Social Services,12,14,227,Tabuk,Central,14,0,97,Ministry of Education,Patients,Relief,2022,Pending,8986,84,83,8972,95,No
Association Hope Initiative,Charitable,13,12,297,Tabuk,Central,8,3,63,"Ministry of Environment, Water and Agriculture",Refugees,Capacity Building,1996,Unaccredited,8540,12,39,5774,99,No
Initiative Progress Network,Development,32,6,168,Hail,Eastern,18,0,95,"Ministry of Environment, Water and Agriculture",Students,Community Engagement,2022,Unaccredited,9832,41,100,3359,85,No
Initiative Prosperity Network,Technology,26,21,102,Medina,Central,2,14,86,Ministry of Communications and Information Technology,Refugees,Awareness,2012,Accredited,4779,38,29,6956,74,No
Center Innovation Initiative,Charitable,39,28,151,Abha,Southern,15,3,85,Ministry of Education,Job Seekers,Awareness,1991,Unaccredited,7633,47,66,4195,93,No
Initiative Progress Network,Youth,46,30,60,Makkah,Southern,19,0,95,Ministry of Human Resources and Social Development,Orphans,Advocacy,1992,Pending,2139,61,69,3067,63,No
Center Progress for Youth,Technology,6,9,220,Taif,Eastern,6,15,96,Ministry of Economy and Planning,Orphans,Research,1994,Accredited,3862,96,64,1933,69,No
